0,1,2,3
Name of the post,Sanctioned,Filled up,Vacant
Director General,1,1,0
Addl. Director General/equivalent,5,5,0
Director/ Principal/ Vice Principal/OSD/equivalent,125,230,-105
Deputy Director/OSD/equivalent,133,698,-565
Assistant Director/Civil surgeon/OSD/equivalent,251,715,-464
Deputy civil surgeon/UHFPO/OSD,976,1834,-858
Professor,640,319,321
Associate professor,1063,585,478
Assistant professor,1794,779,1015
Senior consultant,597,274,323
Senior Lecturer,8,6,2
Junior Lecturer,32,32,0
Junior consultant,3850,1766,2084
Assistant surgeon/OSD/equivalent,16064,13240,2824
Sub Assistant Community Medical Officer (SACMO),5368,3801,1567
Health Inspector,1410,1047,363
Assistant Health Inspector,4220,3636,584
Health Assistant,20908,15420,5488
Medical Technologist,,,
Pharmacy,2905,1546,1359
Laboratory,2237,1488,749
Radiography,778,573,205
Radiotherapy,83,41,42
Physiotherapy,296,109,187
Dental,624,469,155
MT (S.I.),498,475,23
MT (EPI),499,483,16
Alternative Health Care Professionals (all categories),1911,1058,855
Community Health Care Provider,13588,12488,1100
