0,1,2,3,4,5,6,7,8,9,10,11
IEC,Potential Impact,Mitigation Measures,,Monitoring Method,,,,,Responsibility,,
,,,,Method of,,"Location and
Frequency",,Implementation,,Supervision,
,,,,Collecting and,,,,,,,
,,,,Reporting Data,,,,,,,
,,"• Do not burn the wastes openly or throw in to water bodies or do not dispose
on soil.
• Audit for any off-site waste disposal will be required on a monthly basis and
institute any remedial measures required to ensure compliance.",,,,,,,,,
"Occupational
Health and
Safety
including
COVID H&S","• Needle-sticks, surgical cuts,
and other injuries posing
transmission risk of blood-
borne diseases such as
COVID-19, Hepatitis C, HIV-
AIDS, etc.
• Dermatitis and allergic
reactions due to workplace
exposures.","• Prepare a health and safety guidance for COVID-19 and strictly follow
the guidance at the facility.
• Refer to IFC EHS Guidelines for Healthcare Facilities (2007) and relevant
national guidelines and protocols.
• Implement suitable safety standards for all workers and facility visitors.
• Mandatory use of personal protective equipment and safety gears, where
required.
• Arrangements for safe drinking water and sanitation facilities.
• Provide regular OHS training to healthcare workers.
• Provide incentives to staff and create a work-life balance in work schedule.","• Regular
inspection and
testing of all safety
features and
hazard control
measures and
personal
protective
features",,,"Hospital area
during
operation
period",,CuMCH,,DGHS,
"Accidental
Releases of
Gas and Fluids","• Leakage of infectious or
hazardous substances may
pose serious health hazards
and can spread the contagion
among hospital staff and
patients, cleaners etc.","• Develop an Emergency Response Plan and follow strictly during
emergency incident.
• Follow the suggested medical gas safety management plan as given in
Annex 4.
• Emergency preparedness and response procedures and equipment
(warning signs, fire extinguishers, fire exit etc.).
• Wear disposable gloves and, if aerosols are formed, glasses and a respirator
for particles.
• Cover the contaminated area with a disinfectant in a concentric way, starting
at the edge and progressing towards the center of the contamination.
• Avoid spraying or pouring the disinfectant from above, which can cause
aerosols.
• Mop up, and dispose of all waste and contaminated material in the
appropriate container (infectious waste).
• Conduct monthly safety audit of facility to identify fire risks, electrocution
hazards and other unsafe conditions, and assess adequacy of fire
extinguishers and first aid provisions.","• Record of regular
inspection.",,,"Hospital area
during
operation
period",,CuMCH,,DGHS,
"Medical Gas
Safety
Management","• Haphazardly stored and lack of
regular maintenance often
create hazards.
• Cylinders are often the same
colour regardless of the
contents and the labelling is
often a poor quality and
inconsistent. Because of this,
there is a risk of the wrong
cylinder being delivered","• Develop a Medical Gas Safety Management Plan during the operation
and follow strictly.
• Follow the suggested medical gas safety management plan as given in
Annex 4.
• Regularly check and update the management plan as per the requirement.
• Follow the Emergency Response Plan if required and maintain a direct
communication channel with the emergency response team/in case of
emergency.
• Ensure labeling, safety signs and inspection for all the gas cylinders and
locations.","• Record of regular
inspection.",,,"Hospital area
during
operation
period",,CuMCH,,DGHS,
