0,1
,No. of
Name of L ocal Training,
,participants
,
"6 days ESP orientation for auxiliary service
providers. Including curriculum Review",150
"6 days ESP refresher training for field
service providers i ncluding curriculum
development",2000
"Curriculum development/Review for
Nurses and Paramedics on advanced ESP
clinical skills from district, upazila and
below on reproductive health (10 days)",Done
"Curriculum development for Nurse s and
Paramedics on advanced ESP clinical skills
from district, upazila and below on Child
health care (6 days)",Done
"Training for Nurses and Paramedics on
advanced ESP clinical skills from district,
upazila and below on Reproductive health
(10 days)",58
"Breast feeding counseling for health care
providers (Doctors and Nurses) ( 6 days )
Including curriculum Review",148
"5 days training on Asthma prevention and
management for Medical graduates.
Including curriculum Review",126
"5 days training on Cancer awa reness,
screening and primary detection for
doctors i ncluding curriculum development",20
"1 day orientation on cervical and breast
cancer awareness for opinion leaders
including curriculum and teaching aids
development",200
"6 days training on nutrition for field service
providers",1750
2 days Workshop on Medical Biotechnology,50
"Breast feeding counseling training for
health care providers (HAs /Field service
providers.) (3 days)",275
"2 weeks training on intensive coronary care
for junior doctors working in the CCU /
cardiology department of medical colle ges
including curriculum review",37
