0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,,,,,,,,,,,D,evelopment,,,Proposed,,,Bed will,
,Division,,,Hospital,,,Bed,,,Revenue,,,,,,,,,,
,,,,,,,,,,,,,,,,Bed,,,increase,
,,,,,,,,,,,,,,,,,,,,
,Postgraduate Institute Hospital,,,,,,,,,,,,,,,,,,,
Dhaka,,,"Institute of Diseases of Chest and Hospital
(NIDCH)",,,600,,,600,,,-,,,-,,,-,,
Dhaka,,,"National Institute of Traunatology &
Rehabilitation (NITO R)",,,500,,,500,,,-,,,-,,,-,,
Dhaka,,,"National Institute of Cancer Research and
Hospital (NICRH)",,,50,,,50,,,-,,,250,,,200,,
Dhaka,,,"National Institute of Cardiovascular
Diseases (NICVD)",,,414,,,250,,,164,,,-,,,-,,
Dhaka,,,"National Institute of Kidney Diseases and
Urology (NIKDU)",,,100,,,-,,,100,,,-,,,-,,
Dhaka,,,"National Institute of Mental Health
(NIMH)",,,100,,,50,,,50,,,-,,,-,,
Dhaka,,,"National Institute of Ophthalmology and
Hospital (NIOH)",,,250,,,250,,,-,,,-,,,-,,
Total: 9 Nos.,,,,,,2014,,,1700,,,314,,,250,,,200,,
,Medical College Hospital,,,,,,,,,,,,,,,,,,,
Barisal,,,Sher-e-Bangla Medical College Hospital,,,600,,,600,,,-,,,1000,,,400,,
Chittagong,,,Chittagong Medical College Hospital,,,1010,,,1010,,,-,,,-,,,-,,
Chittagong,,,Comilla Medical College Hospital,,,250,,,250,,,-,,,500,,,250,,
Dhaka,,,Shuhrowrdi Hospital,,,375,,,375,,,-,,,-,,,-,,
Dhaka,,,Dhaka Medical College Hospital,,,1700,,,1700,,,-,,,2000,,,300,,
Dhaka,,,Faridpur Medical College Hospital,,,250,,,250,,,-,,,-,,,-,,
Dhaka,,,Mymenshing Medical College Hospital,,,800,,,800,,,-,,,1000,,,200,,
Dhaka,,,Sir Salimullah Medical College Hospital,,,600,,,600,,,-,,,-,,,-,,
Khulna,,,Khulna Medical College Hospital,,,250,,,250,,,-,,,500,,,250,,
Rajshahi,,,Bogra Medical College Hospital,,,500,,,500,,,-,,,-,,,-,,
Rajshahi,,,Dinajpur Medical College Hospital,,,250,,,250,,,-,,,500,,,250,,
Rajshahi,,,Rajshahi Medical College Hospital,,,600,,,600,,,-,,,-,,,-,,
