0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,Sanctioned (No.),,,,,,,,,Available (N o.),,,,,,,,,Vacant ( No.),,,,
Class,,Category,,,Permanent,,,Temporary,,,Total,,,Permanent,,,Temporary,,,Total,,,Permanent,Temporary,,Total,
I,,Nursing,,45,,,13,,,58,,,9,,,1,,,10,,,36,,12,48,,
I,,Non-nursing,,0,,,1,,,1,,,0,,,0,,,0,,,0,,1,1,,
II,,Nursing,,231,,,156,,,387,,,160,,,0,,,160,,,71,,156,227,,
,,Non-nursing,,2,,,9,,,11,,,1,,,7,,,8,,,1,,2,3,,
III,,Nursing,,6481,,,9552,,,16033,,,5859,,,7786,,,13645,,,622,,1766,2388,,
,,Non-nursing,,184,,,79,,,263,,,152,,,76,,,228,,,32,,3,35,,
IV,,Non-nursing,,454,,,250,,,704,,,420,,,215,,,635,,,34,,35,69,,
,Total,,,,7397,,,10060,,,17457,,,6601,,,8083,,,14686,,,796,1975,,2771,
