0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
,Sl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,I,CD-10,,,Disease Name,,,M,,,F,,,M,,,F,,,M,,,F,,,M,,,F,,,M,,,F,,,M,,,F,,,M,,,F,,,M,,,F,
,No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,<7 days,,,,,,<28 days,,,,,,<1 year,,,,,,1-4 year,,,,,,5-14 y,,,,,,15-49 y,,,,,,50-59 y,,,,,,60+ y,,,,
39,,,"A82-
B18",,,"Viral diseases
(chicken pox,
measles,
hepatitis )",,,0,,,0,,,6,,,0,,,3,,,1,,,1,,,4,,,2,,,2,,,10,,,6,,,1,,,2,,,4,,,2,,
40,,,E11-14,,,"Diabetes
mellitu s",,,0,,,0,,,0,,,0,,,0,,,1,,,0,,,0,,,1,,,1,,,5,,,12,,,5,,,2,,,12,,,5,,
,,,,,,Total,,,"2,054",,,"1,366",,,439,,,291,,,"1,173",,,926,,,645,,,565,,,565,,,457,,,"3,606",,,"3,329",,,"1,650",,,788,,,"3,981",,,"1,769",,
