0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
,,1,989,,1,990,,1,991,,1,992,1993,,1,994,,1,995,,1,996,,1,997,,1,998,,1,999,,2,000,,2,001,,2,002,,2003,,2,004,,2,00,5,2,006,,2,007,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,,1,,,2,,,4,,,2,,10,,9,,,9,,,23,,,17,,,11,,,16,,,23,,,,,,,,,,,,,,,,,,,,,,
Female,,0,,,0,,,2,,,0,,2,,4,,,1,,,6,,,2,,,1,,,4,,,8,,,-,,,-,,,-,,-,,,-,,,-,,,-,,
Total,,1,,,2,,,6,,,2,,12,,13,,,10,,,29,,,19,,,12,,,20,,,31,,,"-
31",,,"-
60",,,"-
115",,"-
102",,,"-
193",,,"-
216",,,"-
333",,
