0,1,2,3,4,5,6,7,8,9,10
,Cancer patients attending OPD,,,,,Cancer patients admitted,,,,
Year,Total,Male,,Female,,Total,Male,,Female,
,No.,No.,%,No.,%,No.,No.,%,No.,%
2001,6001,3481,58.0,2520,42.0,3485,2226,63.9,1259,36.1
2002,7570,4383,57.9,3187,41.9,4208,2659,63.2,1549,36.8
2003,7203,4069,56.5,3134,43.5,5656,3357,59.4,2299,40.6
2004,5777,3331,57.7,2446,42.3,4854,2933,60.4,1921,39.4
2005,7516,4359,58.0,3157,42.0,5411,3136,58.0,2275,42.0
2006,7790,4643,59.6,3147,40.4,6492,3824,58.9,2668,41.1
2007,9541,5438,56.9,4103,43.1,6926,3937,56.8,2989,43.2
