0,1
,No. of
Name of L ocal Training,
,participants
,
"Hardware training on computer operation
for officer and staff",30
"Computer p rogramming on MS access and
SPSS for officer and staff (including
Curriculum review)",39
"Computer programming on Graphics
Design and webpage design for officer and
staff",30
"28 days basic computer training on
operating system, installation, internet etc
for the persons of MOHFW, DGHS and
autonomous institute",89
"14 days refresher computer training on
operating system, installation, internet etc.
for the persons of MOHFW, DGHS and
autonomous institute.",900
"2 days PMIS training for PMIS recording &
reporting tools",301
"2 days training for service statistics related
MIS recording & reporting tools",301
"5 days training on standard operating
procedures (SOP) regarding IPD, OPD, OT,
emergency, house keeping, record keeping,
nursing services, diagnostic services, etc.
for service providers of primary, secondary
and tertiary Hospitals including monitoring
and supervision including curriculum
review",180
"3 days Training on SOP for MLSS, aya,
attendant, sweeper, cleaner, security,
guard, etc. from primary, secondary and
tertiary level hospitals including monitoring
and supervision. And de velopment/review
of hand out",180
"15 Days Computer Training on DMIS for
Health Personnel from district and Upazila",120
"3 days Women's professional development
program for personnel from district/
directorate/ Secretariat level managers",60
"5 days Mid level management
development program for personnel from
district level Health managers and UH&FPO",75
"3 days training on technique of developing
training media and maintenance of
audiovisual equipment for audiovisual
operator, audiovisual projectionist,
audiovisual helper and audiovisual
technician including curriculum
development",64
"Reporting and Dissemination of Different
activities under In-service training and up
date training facility and resource inventory
of district /Upazila",Done
"Maintenance and Further Development of
Training Management Information System
(TMIS)",Done
