0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,No. of,,,No. of non-,,,,
,,,,,,,,,,,,,,,,No. of beds,
,,,,"No. of
facility","No. of bed
in each",,"Total bed
(No.)",,,hospitals,,,bed facility,,,,
,Type of facility,,,,,,,,,,,,,,,in this,
,,,,,,,,,,in this,,,in this,,,,
,,,,,,,,,,,,,,,,category,
,,,,,,,,,,category,,,category,,,,
,,,,,,,,,,,,,,,,,
Community health facility (0-bed),,,3500,,0,,0,,0,,,3500,,,0,,
,Maternal and Child Welfare Cent er,,,,,,,,,,,,,,,,
,,,,97,,,,,,,,,97,,,,
,(0-bed),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
MCH-FP Clinic (0-bed),,,471,,,,,,,,,471,,,0,,
,NGO clinic supported by DGFP (0 -bed),,,177,0,,0,,,0,,,177,,,0,
Model clinic (0-bed ),,,8,,0,,0,,0,,,8,,,0,,
,Hospita l (0-bed ),,,2,,,,,,2,,,0,,,,
,Total,,,4255,,,,,,,,,4253,,,,
Source : Website of DGFP,,,,,,,,,,,,,,,,,
