0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,,,,,,,,,,,,,,,,,,,,Hosp,,,,,,
,,,,,,No. of,,,,,,,,,"No. of
Patient
Days",,Bed,,,,,Average,,,,
,No. of UHCs for,,No. of,,,,,,No. of,,,No.,,,,,,,,death,,,,,Outdoor,
,,,,,,beds,,,,,,,,,,,occupancy,,,,,length,,,,
,which data received,,beds,,,,,,admissions,,,deaths,,,,,,,,rate,,,,,attendance,
,,,,,,compiled,,,,,,,,,,,rate (%),,,,,"of stay
(d)",,,,
,,,,,,,,,,,,,,,,,,,,(%),,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
413,,,"14,038",,"11,858",,,"1,345,860",,,21324,,,"3,718,486",,72.57,,,1.62,,,3,,"23,642,512",,
