0,1
,No. of
Name of L ocal Training,
,participants
,
"2 weeks training on intensive coronary care
for staff nurses working in the
CCU/cardiology department of medical
colleges including curriculum review",18
"5 days Training o n awareness of primary
health care doctors on biochemical
parameters for prevention and control of
cardiovascular diseases",47
"3 days Training of health technologists on
biochemical tests for diagnosis of
cardiovascular risks and diseases",-
"3 days training program on primary health
care physicians on mental health including
curriculum development",60
"2 days training program on primary health
workers on mental health",90
"Training on primary management &
prevention of kidney & urological diseases
for primary health care physicians (6 days)",60
"Training on kidney & urological diseases for
nurses working at primary health care level
(6 days)",60
"Training on Kidney & urological diseases for
health workers working at primary health
care level (6 days)",120
"6 days training for doctors on violence
against women and girls",188
"6 days training for nurses on violence
against women and girls",215
"6 days training on management &
prevention of substance abuse including
alcohol for doctors. (including curriculum
development)",25
"6 days training on management &
prevention of substance abuse including
alcohol for nurses and medical assistants.
(including curriculum development)",50
"2 days orientation on medico-legal
activities for CS, DCs, RM O, etc",150
"6 days training on Applied forensic
Medicine including post mortem for MOs ,
RMOs and UH&FPO (including curriculum
development)",200
"One year Training Course on Diploma in
Anesthesia (DA) and Diploma in Obstetric
and Gynecology (DGO) for Doctors",-
"6 days training on improved financial
management for personnel working at
Division, D istrict,Up azila and Specialized
Institutions, T TU and Others including
curriculum Review",275
"15 days basic service management training
for doctors",60
"2 days training on monitoring and
supportive supervision for supervisors at
upazila level and below (HI, AHI, SI, EPI
Technician, MA, et c) in cluding curriculum",720
