0,1,2,3,4,5,6,7,8,9
Fluid,Pack Size (ml),Y2001,Y2002,Y2003,Y2003,Y2004,Y2005,Y2006,Y2007
Glucose Saline,1000,101956,66780,39735,80904,81238,81238,6754,13242
,500,406246,3497,243610,241043,221026,221026,285145,217758
Glucose Aqua,1000,89894,56055,42569,84455,72429,72429,7823,11325
,500,411722,333213,248265,233086,211607,211607,277329,204345
Normal Saline,1000,886,9291,17662,9783,17930,17930,5029,-
,500,45831,77319,68492,50536,52518,52518,58338,67831
Cholera Saline,1000,79291,118519,129986,192907,10409,10409,1627,25304
,500,213599,308536,246718,472545,280402,280402,182789,240473
P.D. Fluid,1000,117370,93384,57657,68421,53666,53666,61391,38109
,500,-,20278,-,-,-,-,-,10291
3% Normal Saline,1000,-,-,-,-,-,-,-,-
,500,3890,5022,5107,4578,6888,6888,6939,8456
Baby Saline,1000,-,-,-,-,-,-,11000,12600
,500,7224,6717,4689,14307,8245,8245,500,-
"Haemodialysis
Fluid",1000,42220,33510,14200,21100,20650,20650,1000,-
,500,-,-,-,-,-,-,500,8700
Hartman’s Solution,1000,-,-,-,-,-,-,1000,-
,500,-,31694,42710,47520,70676,70676,500,21014
