0,1,2,3,4,5
,,,,No. of,
,Name of nursing institute,,,,
,,,,seats,
,,,,,
"Nursing Institute attached with Bogra
General Hospital",,,40,,
"Nursing Institute attached with
Dinajpur General Hospital",,,40,,
"Nursing Institute attached with
Jessore General Hospital",,,40,,
"Nursing Institute attached with
Khulna G eneral Hospital",,,50,,
"Nursing Institute attached with Kustia
General Hospital",,,40,,
"Nursing Institute attached with
Noakhali General Hospital",,,40,,
"Nursing Institute attached with Pabna
General Hospital",,,40,,
"Nursing Institute attached with
Patuakhali General Hospital",,,40,,
"Nursing Institute a ttached with
Rangamati General Hospital",,,40,,
"Nursing Institute attached with
Sirajganj General Hospital",,,30,,
"Nursing Institute attached with
Tangail General Hospital",,,40,,
Total,,,440,,
"Source: Director, Medical Education and Health
Manpower Development, Mohakhali, Dhaka",,,,,
