0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,RPA,,,,,,,
,,,,,,GOB &,,,,Project,,,,,,,,Other than,,
Operational Plans (Total 19),,,Total,,,,,,,,,,,,,,,,,
,,,,,,JDCF,,,,Aid Total,,,,,,,,,,
,,,,,,,,,,,,,GOB,,,Other,,,,
,,,,,,,,,,,,,,,,,,RPA,,
,,,,,,,,,,,,,,,,,,,,
Essential Service Delivery (ESD),,,38683,,,7181,,,31502,,,11315,,,0,,,20187,,
Communicable disease control (CDC),,,10788,,,2500,,,8288,,,8000,,,288,,,0,,
TB and Leprosy Control (TLC),,,2717,,,1357,,,1360,,,495,,,0,,,865,,
Health Education and Promotion (HEP),,,2306,,,716,,,1590,,,1540,,,0,,,50,,
Improved Hospital Service Management (IHSM),,,16000,,,6000,,,10000,,,9900,,,0,,,100,,
Alternative Medical Care (AMC),,,1157,,,871,,,286,,,286,,,0,,,0,,
"Non-Communicable Disease and Other Public
Health Interventions (NCD)",,,5066,,,204,,,4862,,,4862,,,0,,,0,,
National Aids- Std Program (NASP),,,11865,,,131,,,11734,,,11734,,,0,,,0,,
In-service Training (IST),,,4683,,,600,,,4083,,,4083,,,0,,,0,,
Pre-service Education (PSE),,,6500,,,1500,,,5000,,,5000,,,0,,,0,,
Procurement Storage and Supplies (PSS),,,4057,,,3657,,,400,,,100,,,0,,,300,,
Research and Development (Health),,,570,,,30,,,540,,,540,,,0,,,0,,
MIS (Health),,,1500,,,120,,,1380,,,1380,,,0,,,0,,
Quality Assurance (QA),,,160,,,17,,,143,,,143,,,0,,,0,,
Sector-wide Program Management (SWPM),,,500,,,10,,,490,,,490,,,0,,,0,,
Human Resource Management (HRM),,,150,,,50,,,100,,,100,,,0,,,0,,
Improved Financial Management (IFM),,,50,,,12,,,38,,,38,,,0,,,0,,
Micronutrient Supplementation (MS ),,,1600,,,345,,,1255,,,1255,,,0,,,0,,
,,,500,,,273,,,227,,,227,,,0,,,0,,
,National Eye Care (NEC),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Total (L akh Taka) =,,,108852,,,25574,,,83278,,,61488,,,288,,,21502,
,,,,,,,,,,,,,,,,,,,,
Note: This ADP will be revised after approval of the proposed revised Program Implementation Plan (PIP) for HNPSP in ECNEC,,,,,,,,,,,,,,,,,,,,
