0,1,2,3,4,5,6,7,8
,Indicators,,,Unit of measurement,,,Achievement,
,Output Indicators,,,,,,,
"Cataract Surgery
for Adult",,,"# of cataract surgery
performed /million/
year",,,1100,,
"Cataract Surgery
for Child",,,"# of cataract surgery
performed /year",,,2000,,
"Cataract surgery in
district hospital
under special
package",,,"# of patient provided
with IOL surgery
facilities at district
hospitals",,,5000,,
"Formation &
functioning of
National vision
2020 advisory
committee",,,"# of committee formed
& functioning",,,01,,
"Formation of vision
2020 district
committees",,,"# of district
committees formed &
functioning",,,08,,
"Refraction service
in district & Upazila
level hospital",,,"# of patients provided
refraction",,,40000,,
,Input Indicators,,,,,,,
"No. of secondary
hospitals (GoB)
having IOL facilities",,,"# of district hospitals
completion to perform
IOL surgery",,,15,,
"Establish Eye OT &
OPD at district
hospitals",,,"# of OT & OPD
renovated at districts
level hospital",,,"10 District
hospitals",,
"Establishment of
Pediatric
Ophthalmic facilities
(OT & OPD) at
tertiary level
hospital",,,"# of tertiary hospitals
having Pediatric
Ophthalmic facilities",,,"01 Tertiary
level hospitals",,
"Supply/replacement
of eye equipment at
district hospitals",,,"# of DH provided with
eye care equipment",,,"6 DH
(complete)",,
"MSR support for
eye care at district
& upazila level",,,"# of DH/ UHC
provided MSR support",,,20 DH,,
"Training of Doctors
on micro surgery",,,"# of Micro surgery
trained doctors
available",,,30,,
"Mid level eye care
personnel
developed",,,"# of MLEP providing
eye care services",,,10,,
