0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,Type of facility,,,,,,Dhaka,,,Rajshahi,,,Chittagong,,,Barisal,,,Khulna,,,Sylhet,,,Total,
251-500 bed,,,No.,,,14,,,3,,,0,,,0,,,0,,,0,,,17,,
,,,%,,,82.4,,,17.6,,,0.0,,,0.0,,,0.0,,,0.0,,,100.0,,
,,,,No.,,,12,,,2,,,5,,,0,,,0,,,0,,,19,
,101-205 bed,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,%,,,63.2,,,10.5,,,26.3,,,0.0,,,0.0,,,0.0,,,100.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
51-100 bed,,,No.,,,12,,,6,,,8,,,0,,,0,,,0,,,26,,
,,,%,,,46.2,,,23.1,,,30.8,,,0.0,,,0.0,,,0.0,,,100.0,,
,,,,No.,,,65,,,11,,,35,,,2,,,5,,,3,,,121,
,21-50 bed,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,%,,,53.7,,,9.1,,,28.9,,,1.7,,,4.1,,,2.5,,,100.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1-20 bed,,,No.,,,698,,,428,,,263,,,34,,,416,,,133,,,1972,,
,,,%,,,35.4,,,21.7,,,13.3,,,1.7,,,21.1,,,6.7,,,100.0,,
,,,,No.,,,801,,,450,,,311,,,36,,,421,,,136,,,2155,
,Total,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,%,,,37.2,,,20.9,,,14.4,,,1.7,,,19.5,,,6.3,,,100.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
