0,1
,No. of
Name of L ocal Training,
,participants
"21 days advanced computer training on
District m anagement Information System (DMIS)",253
"Need assessment of different categories of
training",done
"Evaluation of different categories of
training activities",done
"28 days English language course for health
personnel",125
"Training on updating media and messages
in support on HEP for HEO/HE/Other
related officers",100
"Training on gender issue and poverty
alleviation for HEO/HE/Other related officers",25
"1 day training for doctors , medical
assistant, MA, Paramedical Health/ Field
Staff, Nurses, RMP, Drug distributor, formal
and informal leaders etc on filariasis
elimination & morbidity control to be held
at divisional / district / upazila level with
field implementation of HH registration, Mass
drug administration and coverage survey",200
"Organization of 2 days joint simulation
exercise with BDRCS at most cyclone prone
districts. (Multi-sectoral approach) on EPR",50
"Conduct vulnerability and Capacity
Assessment at 10 (ten) selected hazard
prone areas on EPR",100
2 days training for field staff on Disaster Mitigation,90
"two days orientation course for Disaster
Focal Points on EPR",
"Training course on Mass casualty
management for hospital level staffs",40
"2 days Orientation on service statistics of
MO, MA, MT, HI, AHI and HA",150
"HEP Training for the mid-level managers
(5 days) Health Education officers/ Health
Educator",28
"Program/ Administrative Management
Training for the HEP Focal Points. (Do)
Health Education officers/ Health Educator",38
TOT Program,199
Orientation Tr aining program of Participants,404
"Attachment of Participants at different
Department at different In stitution",186
