0,1,2,3,4
Strategic plan outcome areas,,"Regular
resources","Other
resources",Total
Outcome 1,Sexual and reproductive health,9.4,18.8,28.2
Outcome 2,Adolescents and youth,4.8,5.0,9.8
Outcome 3,Gender equality and women’s empowerment,7.6,0.5,8.1
Outcome 4,Population dynamics,2.5,2.0,4.5
Programme coordination and assistance,,2.0,-,2.0
Total,,26.3,26.3,52.6
