0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,,Published in newspapers,,,,,,,
,,,,Published,,,,,,,,,,
,Description of the thematic area/ messages,,,,,,,,,,,,,
,,,,days,,,Bangla,,,English,,,Total,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Advertisement campaign by the MoHFW on
guidelines for compliance with health rules
during spiritual sacrifices",,,3,,,63,,,8,,,71,,
Covid-19 vaccine campaign,,,1,,,35,,,7,,,42,,
"Promotion of conditions and guidelines for
registration in Surokkha Apps/ Surokkha
Websites targeting children aged 5 to 11 years
for COVID-19 vaccine",,,2,,,21,,,0,,,22,,
"On the occasion of the National Day of Mourning
on 15th August, the activities undertaken by the
DGHS and the MoHFW",,,6,,,107,,,12,,,119,,
"11th August 2022, advertisement campaign for
the inauguration of immunization campaign for
children aged 5 to 11 years",,,2,,,21,,,0,,,21,,
"Advertisement campaign for providing Covid-19
vaccine to children aged 5 to 11 years",,,4,,,41,,,11,,,52,,
"Promotion of health check-up program for
students by ‘Little Doctors’ in accordance with
health rules",,,2,,,47,,,8,,,55,,
"Advertising campaign on the prevention of
dengue",,,13,,,95,,,14,,,109,,
"Publication of Supplement on the occasion of
World Rabies Day 2022",,,1,,,10,,,0,,,10,,
Advertising campaign about changing the place,,,2,,,43,,,0,,,43,,
