0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,Hospital Name,,,Total No. of,,,Line,,,Total,,,RDT,,,RDT,,,RDT,
,,,,Hospital,,,Listing,,,Sample,,,Done,,,(+),,,(-),
,,,,Patient,,,,,,collected,,,,,,,,,,
"250 Bedded District Sadar
Hospital Habiganj",,,"245,617",,,305,,,164,,,164,,,-,,,164,,
"250 Bedded Sadar Hospital
Cox's Bazar",,,"382,971",,,644,,,203,,,203,,,-,,,203,,
"250 Bedded General Hospital
Naogaon",,,"407,976",,,492,,,140,,,140,,,6,,,134,,
"250 Bedded Hospital
Patuakhali",,,"167,700",,,569,,,161,,,161,,,-,,,161,,
"District Sadar Hospital
Satkhira",,,"218,182",,,763,,,168,,,168,,,26,,,142,,
"Dhaka Medical College
Hospital",,,"1,264,842",,,878,,,97,,,97,,,3,,,94,,
"Uttara Adhunik Medical
College Hospital",,,"260,888",,,183,,,66,,,66,,,6,,,60,,
"BITID, Chattogram",,,"40,715",,,347,,,174,,,174,,,10,,,164,,
,Total,,,"2,988,891",,,"4,181",,,"1,173",,,"1,173",,,51,,,"1,122",
