0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,District,,,Upazila,,,Households,,,P. argentipes,,,Other sp.,,"Total Sandfly
found (N)",
,,,,,,,Surveyed (N),,,found (N),,,found (N),,,
Chandpur,,,"Chandpur
Sadar",,,16,,,32,,,284,,,316,
Pabna,,,Faridpur,,,18,,,51,,,333,,,384,
Dinajpur,,,Ghoraghat,,,18,,,43,,,245,,,288,
Gazipur,,,Kapasia,,,17,,,21,,,222,,,243,
Jamalpur,,,Sarisabari,,,15,,,9,,,160,,,169,
Tangail,,,Gopalpur,,,16,,,23,,,239,,,262,
Natore,,,Gurudashpur,,,16,,,27,,,285,,,312,
Mymensingh,,,Haluaghat,,,18,,,15,,,671,,,686,
Dinajpur,,,Parbatipur,,,15,,,95,,,755,,,855,
Dinajpur,,,Nawabganj,,,18,,,16,,,257,,,273,
Kishoreganj,,,Pakundia,,,16,,,30,,,398,,,428,
Narshingdi,,,Raipura,,,16,,,4,,,261,,,265,
Bogura,,,Sonatala,,,17,,,72,,,636,,,708,
Gazipur,,,Sreepur,,,18,,,55,,,632,,,687,
Sirajganj,,,Tarash,,,16,,,65,,,606,,,671,
