0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,2000,2001,2002,2003,2004,2005,2006,2007,200820,092010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cases,764,428,811,611,592,689,937,493,482 42,9 380,337,206,142,106,796,453,380,290,224,132,99,146
Deaths,24,6,36,27,23,16,23,17,17 1,4 0,2,0,2,3,4,5,5,3,4,5,4,2
