0,1,2,3,4,5,6,7,8,9,10,11,12
Table 5.2 Continued...,,,,,,,,,,,,
,,,,,,,,,,,No. of,
,,,,,,,,No. of,,,,
,,Type,,,Name of facility,,,,,,functional,
,,,,,,,,facilities,,,,
,,,,,,,,,,,beds,
,,,,,,,,,,,,
,,,,Narsingdi 100-bed Hospital,,,1,,,100,,
,,,,"Shaheed Ahsan Ullah Master
General Hospital, Tongi, Gazipur",,,1,,,250,,
,,,,"Bangladesh - Korea Moitree
Hospital, Savar, Dhaka",,,1,,,30,,
,,,,"Kuwait - Bangladesh Friendship
Govt. Hospital, Uttara, Dhaka",,,1,,,100,,
,,,,"Saidpur 100-bed Hospital,
Nilphamari",,,1,,,100,,
,,Subtotal - Secondary,,,,,,,,,,
,,,,,,,,206,,,16016,
,,Level Hospitals,,,,,,,,,,
,,,,,,,,,,,,
,,Tertiary Level Hospitals,,,,,,,,,,
,"Division - level office
(Divisional Health
Office)",,,,,,8,,,0,,
,Dental college hospital,,,,,,1,,,200,,
,"Hospital of alternative
medicine",,,,,,3,,,200,,
,Medical college hospital,,,,,,35,,,25650,,
,"Specialized Health
Center",,,"Central Skin & Social Hygiene
Center, Chattogram",,,1,,,0,,
,,,,"National Center for Control of
Rheumatic Fever & Heart
Disease",,,1,,,0,,
,,,,National Asthma Center,,,1,,,70,,
,Specialized hospital,,,,,,4,,,1100,,
,"Specialty postgraduate
institute
and hospital",,,,,,12,,,6220,,
,Other hospitals,,,"Kurmitola 500-bed General
Hospital, Dhaka",,,1,,,500,,
,,Total tertiary-level,,,,,,,,,,
,,,,,,,,67,,,33940,
,,facilities,,,,,,,,,,
,,,,,,,,,,,,
,,Total secondary and,,,,,,,,,,
,,,,,,,,273,,,49956,
,,tertiary-level facilities,,,,,,,,,,
,,,,,,,,,,,,
