0,1
systems by bringing together,
information from various databases.,
Almost 100% of the government health,
facilities are currently using DHIS2,
for reporting their routine health,
service data and activities.,
"▪ Since March 2020, Bangladesh has",
seen a major outbreak of COVID-19.,
"From the very beginning, coronavirus",
sample test and result data are being,
collected successfully using DHIS,
surveillance system.,
,Corona certificates are being provided
,using the DHIS2. Due to its
,centralized system and online access
,"feature, it is possible to authenticate"
,the certificate globally. The
,Department of Immigration is also
,using the system to authenticate the
,certificates of foreign travelers
