0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,,,Pay,,,Total,,,Filled,,,Filled,,,Filled,,,,
,Designation group,,,,,,,,,,,,,,,,,,Vacant,
,,,,scale,,,posts,,,(Male),,,(Female),,,total,,,,
,,,,,,,,,,,,,,,,,,,,
Director General,,,1,,,1,,,1,,,0,,,1,,,0,,
"Addl. Director General/ OSD/
Equivalent",,,2,,,13,,,9,,,2,,,11,,,2,,
"Director/ Principal/ Vice Principal/
OSD/ Equivalent",,,3,,,134,,,155,,,35,,,190,,,-56,,
Deputy Director/ OSD/ Equivalent,,,4,,,157,,,305,,,80,,,385,,,-228,,
"Asstt. Director/ Civil Surgeon/ OSD/
Equivalent",,,5,,,282,,,376,,,82,,,458,,,-176,,
"Deputy Civil Surgeon/ UHFPO/ OSD/
Equivalent",,,6,,,1166,,,2351,,,945,,,3296,,,-2130,,
Professor,,,3,,,960,,,270,,,92,,,362,,,598,,
Associate Professor,,,4,,,1672,,,510,,,178,,,688,,,984,,
Asstt. Professor,,,6,,,2629,,,1003,,,391,,,1394,,,1235,,
Sr. Consultant,,,5,,,793,,,186,,,63,,,249,,,544,,
Jr. Consultant,,,6 & 7,,,5006,,,1419,,,672,,,2091,,,2915,,
Sr. Lecturer,,,5,,,8,,,5,,,1,,,6,,,2,,
Jr. Lecturer,,,6,,,32,,,15,,,16,,,31,,,1,,
Other posts (pay scale 7 & 8),,,7 & 8,,,574,,,343,,,179,,,522,,,52,,
Asstt. Surgeon/ OSD/ equivalent,,,9,,,23159,,,12238,,,8252,,,20490,,,2669,,
,Total,,,,,,36586,,,19186,,,10988,,,30174,,,6412,
