0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,,Published in newspapers,,,,,,,
,,,,Published,,,,,,,,,,
,Description of the thematic area/ messages,,,,,,,,,,,,,
,,,,days,,,Bangla,,,English,,,Total,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"of collection of Covid-19 samples of travelers
going abroad",,,,,,,,,,,,,,
"Sheikh Russel's birthday campaign for
""ShishuSeba"" campaign",,,,,,19,,,8,,,27,,
"Promotion of health messages on prevention/
prevention of dengue and chikungunya",,,6,,,50,,,2,,,52,,
Promotion of Kangaroo Mother Care (KMC),,,1,,,5,,,0,,,5,,
"Promotion of prevention of new type of Corona
virus (BF.7) infection",,,2,,,12,,,2,,,14,,
"Health-related advertising campaigns on the
occasion of BishwaIjtema 2023",,,23,,,65,,,6,,,71,,
"Ad campaigns on hygiene practices to prevent
covid-19",,,1,,,1,,,0,,,1,,
"In relation to advertising campaigns on urgent
health messages related to Nipah virus",,,3,,,27,,,6,,,33,,
"In relation to advertising campaigns on health
messages to fasting people during the holy
month of Ramadan",,,6,,,27,,,4,,,31,,
"Advertising campaigns on what-to-do to ensure
safe and quality food during the holy month of
Ramadan",,,5,,,29,,,16,,,45,,
"In relation to health message advertisement
campaign in extreme heat",,,2,,,6,,,3,,,9,,
,Total,,,79,,,734,,,102,,,836,
