0,1,2,3,4,5
,Parameter,,,Value,
,,,,,
Notified TB Cases(All Forms),,,"261,957",,
TB treatment coverage (notified/estimated incidence),,,69%,,
Notified TB/HIV co-infection,,,55,,
Laboratory-confirmed MDR/RR-TB cases,,,"1,413",,
MDR/RR-TB patients started treatment,,,"1,267",,
Laboratory-confirmed pre-XDR/XDR-TB cases,,,0,,
pre-XDR/XDR-TB patients started on treatment,,,83,,
Treatment success of new and relapsed cases registered in 2021 (analyzed in 2022),,,96%,,
Treatment success in MDR/RR-TB cases starting second-line treatment in 2020,,,71%,,
