0,1,2
Machines. The 'National Health Call Center’ (Shyastho Batayan),,
accessed by dialing ‘16263’ has been launched to provide,,
healthcare services to the citizens. It is possible to receive public,,
complaints through SMS and take specific measures according to,,
the grievances through the “Grievance Redress System (GRS)” in,,
government hospitals. Advanced telemedicine services are being,,
provided in 96 hospitals. A video conferencing system has been set,,
"up in all Medical Colleges and Specialized Hospitals, Divisional",,
"and District health offices, District Hospitals, and Upazila",,
"Hospitals. Under the Health Strengthening System (HSS), the",,
"""Health Minister National Award"" is being given to better",,
performing health institutions in the country to encourage them to,,
play a more dynamic and effective role in the health sector. HIS,,
and e-Health operation plan also implementing the supply chain,,
management system which has a number of modules that include,,
"equipment tracker e-AMS and eLMIS, at the national and",,
subnational level.,,
,,
Bangladesh has harnessed impressive rollout of eHealth in its,,
"public health sector, as a first nation in the world to announce",,
"""Digital Bangladesh 2021” vision in 2009.",,Ministry of Health and
Family welfare has been taking various contemporary initiatives,,
to successfully implement the government's intention to deliver,,
digital health services to the doorsteps of the people with the aim,,
of building Smart Bangladesh and implementing the Government's,,
Vision 2041.,Bangladesh has made remarkable progress in all,
"areas of eHealth including connectivity; data gathering, generating",,
"evidence and response, telemedicine; public accountability; round",,
the clock health call center; sms broadcast for citizen campaigns;,,
project for universal electronic health records and hospital,,
automation; human resource management and information,,
"system; licensing of health facilities, routine weekly teleconference",,
among all health managers in all tiers concurrently to conduct,,
management meetings and monitor and review national and,,
subnational health situation; use of social media in boosting staff,,
"empowerment, motivation and skills, and educating public on",,
health; summarization and display of data real time in visually,,
impressive web dashboards; etc. Under the 4th sector-wide,,
"program called Health, Population and Nutrition Sector Program",,
"(HPNSP 2017-2023), the activities are being continued under the",,
HIS and e-Health Operational Plan.,,
