0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,,,,,,,,7.881,5.581,5.891,1.301,1.592,9.122,7.341,4.17,6.011,5.952,4.852,9.962,441,5.061,6.431,8.89,9.001,7.621,3.201
,,,ROB,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,7.2,6.2,7.2,6.2,6.2,4.3,3,8.5,7.1,5.2,4.3,6.2,6.2,7.1,6.2,4.2,1.2,3,7.1
,,,SLA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,052,052,052,052,052,052,052,052,052,052,052,052,052,052,052,052,052,052,052
,,denoitcnaS,,deB,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,43443,97633,08704,5278,47642,28812,34211,4464,50263,19432,43763,30861,69701,15171,35852,96271,82302,66342,74031
,noissimdA,,,,elameF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,21982,63923,02753,7436,87081,23291,5097,5972,56742,41281,12033,44341,1088,20071,70322,38341,58391,15991,7909
,,,,,elaM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,68952,42064,64201,59013,8138,9755,4494,69511,87232,19943,22841,0358,75551,49742,74191,05401,27843,73804,42803
,"tisiV
ycnegremE",,,,elameF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,28762,26954,2118,35413,43431,7027,1946,08431,58403,82503,39371,53921,81261,35242,17502,80311,36333,14493,56282
,,,,,elaM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,24617,088271,651133,82598,617821,291161,78269,665931,907982,469031,610262,273951,661331,38269,279541,747321,874871,595411,325061
,"tisiV
DPO",,,,elameF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,61927,325151,198891,78315,67679,790611,60026,31768,702351,283901,241871,835231,467621,68005,964521,748101,215061,904211,988941
,,,,,elaM,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"latipsoH
tcirtsiD
deb
052
jnagibaH","latipsoH
lareneG
dedeB
052
ruplamaJ","latipsoH
lareneG
deb
052
erohsaJ","latipsoH
tcirtsiD
ihtakolahJ","latipsoH
lareneG
deddeB
052
hadianehJ","latipsoH
tcirtsiD
deb
052
tahrupyoJ","latipsoH
tcirtsiD
irahcargahK","latipsoH
lareneG
deB
052
anluhK","latipsoH
radaS
tcirtsiD
deB
052
jnagerohsiK","latipsoH
tcirtsiD
deb
052
margiruK","latipsoH
lareneG
deb
052
aithsuK","latipsoH
tcirtsiD
rupimhskaL","latipsoH
tcirtsiD
tahrinomlaL","latipsoH
tcirtsiD
rupiradaM","latipsoH
tcirtsiD
deb
052
arugaM","latipsoH
tcirtsiD
deB
052
jnagkinaM","latipsoH
tcirtsiD
deb
052
rupreheM","latipsoH
radaS
tcirtsiD
deb
052
razabivluoM","latipsoH
tcirtsiD
deb
052
jnagihsnuM"
,,,"latipsoH
tcirtsiD
fo
emaN",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,91,02,12,22,32,42,52,62,72,82,92,03,13,23,33,43,53,63,73
,,,.N.S,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
