0,1,2,3,4,5,6,7,8,9,10,11
,Activities/ Indicators,,,NKEP,,,ASCEND,,,Total,
No. of Cluster Search conducted,,,2,,,135,,,137,,
No. of Case Investigation completed,,,4,,,8,,,12,,
"No. of HH Surveyed during cluster search and case
investigation",,,138,,,9336,,,9474,,
"No. of people screened during cluster search and case
investigation",,,595,,,38122,,,38717,,
"No. of people suspected as Kala-azar (fever for >2 weeks)
during cluster and case assessment",,,12,,,1081,,,1093,,
"No. of people suspected as PKDL (PKDL like skin lesion)
during cluster and case assessment",,,0,,,160,,,160,,
No. of rK39 positive during cluster and case assessment,,,0,,,39,,,39,,
"No. of people diagnosed with kala-azar during cluster and
case assessment",,,0,,,2,,,2,,
"No. of people diagnosed with PKDL during cluster and case
assessment",,,0,,,24,,,24,,
