0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,,,,,,,,,,Filled up post,,,,,,,,,,,"Rate of
vacancy
(%)",
,,,,,,,Sanctioned,,,,,,,,,,,,Vacant,,,
,Category,,,,,,post,,,,,,,,,,,,post,,,
,,,,,,,,,,Male,,,Female,,,Total,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Grade 9
and above",,,Doctors,,,36587,,,19186,,,10988,,,30174,,,6413,,,17.53%,
,,,"Alternate Medicine
Physician",,,369,,,83,,,43,,,126,,,243,,,65.85%,
,,,Non-Doctors,,,582,,,188,,,55,,,243,,,339,,,58.25%,
Grade 10*,,,,,,1196,,,544,,,84,,,628,,,568,,,47.49%,
Grade 11 to 16,,,,,,62268,,,25769,,,11871,,,37640,,,24628,,,39.55%,
Grade 17 to 20,,,,,,26041,,,10747,,,3533,,,14280,,,11761,,,45.16%,
,Total,,,,,,127043,,,56517,,,26574,,,83091,,,43952,,34.60%,
