0,1,2,3,4,5,6,7,8,9,10,11
,SL,,,Name of institution,,,Estd. Year,,,Enrollment,
,No,,,,,,,,,capacity,
1,,,"Medical Assistant Training School, Cumilla",,,1979,,,52,,
2,,,"Medical Assistant Training School, Noakhali",,,1976,,,102,,
3,,,"Medical Assistant Training School, Faridpur",,,1979,,,102,,
4,,,"Medical Assistant Training School, Tangail",,,1979,,,102,,
5,,,"Medical Assistant Training School, Bagerhat",,,1979,,,152,,
6,,,"Medical Assistant Training School, Kushtia",,,1976,,,102,,
7,,,"Medical Assistant Training School, Sirajganj",,,1979,,,102,,
8,,,"Medical Assistant Training School, Jhenaidah",,,2011,,,52,,
9,,,"Medical Assistant Training School, Satkhira",,,2018,,,52,,
10,,,"Medical Assistant Training School, Tungipara",,,2020,,,52,,
11,,,"Medical Assistant Training School, Naogaon",,,2020,,,52,,
12,,,"Medical Assistant Training School, Manikgonj",,,2022,,,52,,
13,,,"Medical Assistant Training School, Gazipur",,,2022,,,52,,
14,,,"Medical Assistant Training School, Rajbari",,,2022,,,52,,
15,,,"Medical Assistant Training School, Madaripur",,,2022,,,52,,
16,,,"Medical Assistant Training School, Kazipur,
Sirajganj",,,2022,,,52,,
,Total seats,,,,,,,,,1082,
,,,,,,,,,,,
