0,1,2,3,4,5,6,7,8
,Facility,,,Major,,,Minor,
,,,,Surgery,,,Surgery,
"Bangabandhu Sheikh Mujib Medical College Hospital,
Faridpur",,,7395,,,3449,,
Chattogram Medical College Hospital,,,33687,,,68376,,
Colonel Malek Medical College Hospital,,,435,,,300,,
Cumilla Medical College Hospital,,,12711,,,13748,,
Dhaka Medical College Hospital,,,25566,,,40409,,
Khulna Medical College Hospital,,,7806,,,8764,,
M Abdur Rahim Medical College Hospital,,,3533,,,3793,,
"Mugda Medical College Hospital, Dhaka",,,6436,,,2032,,
Mymensingh Medical College Hospital,,,19927,,,94657,,
Rajshahi Medical College Hospital,,,16651,,,20931,,
Rangpur Medical College Hospital,,,9242,,,45851,,
Satkhira Medical College Hospital,,,2103,,,2049,,
Shaheed M Monsur Ali Medical College Hospital,,,82,,,118,,
Shaheed Suhrawardy Medical College Hospital,,,13956,,,10457,,
Shaheed Taj Uddin Ahmad Medical College Hospital,,,2127,,,5080,,
"Shaheed Ziaur Rahman Medical College Hospital, Bogura",,,10011,,,8104,,
Shahid Syed Nazrul Islam Medical College Hospital,,,2595,,,4857,,
Sher-e-bangla Medical College Hospital,,,13067,,,16241,,
Sir Salimullah Medical College Hospital,,,11182,,,20488,,
Sylhet MAG Osmani Medical College Hospital,,,17445,,,29736,,
,Total,,,215957,,,399440,
