0,1,2,3,4
,,,,
Sl. No.,Date,Title / Topic/ journal,Presenter,
33,"Sunday, 26th February 2023","Niraparib individual therapy in patients
with platinum sensitive recurrent ovarian
cancer using an ndividualized starting dose
(NORA): A randomized, double blinded,
placebo-controlled Phase 3 trial.”","Dr. Shazia Sultana Mili
MD, Thesis part,
Medical Oncology, NICRH",
34,18 FEB 2023,Carcinoma of rectum,"Dr. Jahangir Alam
MD, Medical Oncology
NICRH, Dhaka",
35,"10th December, 2023","Updated management of gestational
trophoblastic neoplasia","Dr Farhana Tarannum Khan
Assistant Professor;
Department of
Gynaecological Oncology
NICRH",
36,"Sunday, 19th March 2023","Mismatch repair genes expression defects
and association with clinicopathological
characteristics in colorectal carcinoma","Dr. Arjun Deb
MS Phase B Resident,
Surgical Oncology,
NICRH",
37,"February 25, 2023",Tumor board discussion on rectal cancer,"Dr. Jahangir Alam
MD, Medical Oncology
NICRH, Dhaka",
