0,1,2,3,4,5
Death Review: None Research & Publication,,,,,
SI No,Title,Name,Type of article,References,Remarks
1.,"Frequency of human papilloma virus in
oropharyngeal carcinoma at tertiary
level hospital in bangladesh",Dr. Abdul Karim Mithu,Main,"10.33545/27068919.
2020.v2.i3k.293",
