0,1,2,3,4
Me,dical Oncology Journal Club Presentations,,,
Sl. N,o.,Date,Title / Topic/ journal,Presenter
1,,"Sunday, 09 July 2023","A Phase 3 randomized, placebo controlled
study of Pembrolizumab in addition to
Paclitaxel and Carboplatin for measurable
stage 3 or 4a, stage 4b or recurrent
endometrial cancer","Dr. Radia Afnin
MD Phase B Resident
Medical Oncology,
NICRH"
2,,"Sunday, 14th May 2023",Taxane induced musculoskeletal pain,"Dr. Sohely Syed
MD Phase B Resident
Medical Oncology,
NICRH"
3,,"February 25, 2023",Tumor board discussion on rectal cancer,"All the faculties of Medical
Oncology"
4,,,"A 55-year-old male with generalised
nodular swelling","Dr. Nur Esrat
MD Phase B Resident,
Medical Oncology,
NICRH"
