0,1,2,3,4
"Sl.
no.","Code
no.",Name of college,Seats,Estd.
01,41,"Bangladesh Medical College, Road # 14/A, Dhanmondi, Dhaka",120,1985
02,42,"Samaj Vittic Medical College, Mirza Nagar, Via Savar Cant. Dhaka",150,1989
03,43,"Institute of Applied Health Sciences, Foy’s lake, Chittagong",75,1990
04,44,"Jahurul Islam Medical College, Bajitpur, Kishoreganj",100,1992
05,45,"Medical College for Women & Hospital, Rd # 8-9, Sector 1,
Uttara Model Town, Dhaka",90,1992
06,46,"ZH Sikder Women Medical College, Monica Estate,Western
Dhanmonid, Dhaka",100,1992
07,47,"Dhaka National Medical College, 53/1 Jonson Road, Dhaka",130,1995
08,48,"Community Based Medical College, 161 K.B.Ismail Road,
Mymenshingh",125,1995
09,49,"Jalalabad Ragib-Rabeya Medical College, Pathan tola, Sylhet.",175,1996
10,50,"Shaheed Monsur Ali Medical College, Plot # 26, Rd# 10, St-11,
Uttara, Dhaka",130,1998
11,51,"North East Medical College, South Surma, Sylhet",120,1998
12,52,"Holy Family Red Creasent Mekical College, 1 Eskaton Garden
Road, Dhaka",130,2000
13,53,"International Medical College, Sataish Bazar, Gushuli, Tongi,
Gazipur",120,2000
14,54,"North Bengal Medical College, JC Road, Dhanbandi, Sirajganj",85,2000
15,55,"East West Medical College, Aichi Nagar, JBCS Sarani, Horirampur
Turag, Dhaka",120,2000
16,56,"Kumudini Medical College, Mirjapur, Tangail.",110,2001
17,57,"Tairunnessa Medical College,Targas, Kunia, Board Bazar, Gazipur",100,2001
18,58,"Ibrahim Medical College, Ibrahim Sarani, Segun Bagicha, Dhaka",110,2002
19,59,"BGC Trust Medical College, Kanchan Nagar, Chandanaish,
Chittagong",125,2002
20,60,"Shahabuddin Medical College, Rd # 113/A, Plot # 12, Gulshan
Model Town, Dhaka",90,2003
21,61,"Enam Medical College, Parbatinagar, Thana Road, Savar, Dhaka",140,2003
22,62,"Islami Bank Medical College, Nowdapara, Safura, Airport Road,
Rajshahi",75,2004
