0,1,2,3,4
Table 9.7. RFW (Results Framework) goal-level indicators for the 4th HPNSP,,,,
Sl. no.,Indicator,"Means of verification
and timing","Baseline and
source","Targeted deadline
June 2022"
1,2,3,4,5
Goal 1,"Under-five mortality rate
(U5MR)","BDHS, every 3 years","46, BDHS 2014",34
Goal 2,"Neonatal mortality rate
(NNMR)","BDHS, every 3 years","28, BDHS 2014",18
Goal 3,"Maternal mortality ratio
(MMR)","BMMS/MPDR/MMEIG,
every year",176 WHO 2015,121
Goal 4,Total fertility rate (TFR),"BDHS, every 3 years",2.3 BDHS 2014,2.0
Goal 5,"Prevalence of stunting
among under-five children","BDHS, every 3 years/
UESD, every non-DHS
years","36.1%
BDHS 2014",25%
Goal 6,"Prevalence of hypertension
among adult population","BDHS, every 3 years/
NCD-RF, every 2 years","Female 32%
Male 19%
BDHS 2011","Female 32%
Male 19%"
Goal 7,"% of public facilities with
key service readiness as per
approved Essential Service
Package (ESP)","BHFS, every 2 years","FP: 38.2% ANC
7.8%
CH 6.7% BHFS
2014","FP: 70% ANC
50% CH 50%"
Goal 8,"% of total health
expenditure (THE) financed
from public sector","BNHA, every 3 years","23.1%
BNHA 2012",26.2%
