0,1,2,3,4,5,6,7,8
"Table 4.3. Obstetric care services provided by the government and non-government emergency
obstetric care facilities in 2016",,,,,,,,
"Type of
delivery",Government,,,,,Non-government,,
,MCH,DH/GH,UHC,"Other
governmen
facilities at
upazila leve","t
Total
l","NGO
facilities","Private
facilities",Total
"Normal
delivery
(No.)","39,924","64,938","134,199","337,983","577,044","30,608","81,499","112,107"
(%),43.6,62.1,89.3,58.6,75.8,55.3,24.3,28.6
"Cesarean
section
(No.)","49,268","39,234","15,270","74,964","178,736","24,322","253,460","277,782"
(%),53.9,37.5,10.2,41.9,23.5,43.9,75.5,71.0
"Other
assisted
deliveries
(No.)","2,294",324,880,"1,804","5,302",422,847,"1,269"
(%),2.5,0.31,0.6,0.4,0.70,0.8,0.3,0.3
"Total
deliveries
(No.)","91,486","104,496","150,349","414,751","761,082","55,352","335,806","391,458"
(%),12.0,13.7,19.8,54.5,100,14.2,85.8,100.0
Source: DHIS2,,,,,,,,
