0,1,2
"Table. 9.9. OPs under the 4th HPNSP, along with designated line directors",,
"Sl.
No.",Operational Plan (OP),Designated LD
Component 1: Strengthening Governance and Stewardship,,
1.,"Sector-wide Program Management and Monitoring
(SWPMM)","JC (Planning), MOHFW"
2.,"Planning, Monitoring and Research (PMR)","Director (Planning and
Research), DGHS"
3.,"Planning, Monitoring and Evaluation (PME)","Director (Planning), DGFP"
4.,Health Economics and Financing (HEF),"DG, HEU, MOHFW"
5.,Strengthening of Drug Administration (SDAM),"DG, DGDA"
Component 2: Health Systems Strengthening,,
6.,Health Information Systems and eHealth (HIS & e-Health),"Director (MIS), DGHS"
7.,Management Information System (MIS)-FP,"Director (MIS), DGFP"
8.,"Medical Education and Health Manpower Development
(ME&HMPD)","Director (Medical Education),
DGHS"
9.,"Procurement, Storage and Supply Management–Health
Services (PSSM-HS)","Director (CMSD), DGHS"
Table 9.9. Contd.,,
