0,1,2,3,4,5,6,7,8
6102,7355,361,-,681,681,-,04,04
5102,2543,99,-,211,211,-,2,2
4102,1424,381,-,121,121,-,-,-
3102,9324,042,5,051,551,4,31,71
2102,1884,652,1,021,121,6,22,82
1102,6244,152,21,421,631,71,21,92
0102,1174,433,6,421,031,7,81,52
9002,7344,043,1,211,311,9,3,21
8002,0893,083,0,211,211,0,32,32
7002,6623,592,0,78,78,0,34,34
6002,5013,922,0,601,601,0,7,7
5002,0872,722,6,58,19,0,4,4
4002,0123,522,96,39,261,0,0,0
3002,7282,803,31,24,55,0,0,0
erudecorP,"yhpargoigna
yranoroC","htac
caidraC",laneR,larehpireP,latoT,laneR,larehpireP,latoT
,,,yhpargoignA,,,ytsalpoignA,,
