0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,"Year
2000","Year
2001","Year
2002","Year
2003","Year
2004","Year
2005","Year
2006","Year
2007","Year
2008","Year
2009","Year
2010","Year
2011","Year
2012","Year
2013","Year
2014","Year
2015","Year
2016"
Total,"7,640","4,283","8,110","6,113","5,920","6,892","9,379","4,932","4,824","4,293","3,806","3,376","2,060","1,428","1,068",864,459
Death,24,6,36,27,23,16,23,17,17,14,0,2,0,2,3,2,5
