0,1
"Table 10.2 Number of patients admitted in
different hospitals for suspected chikungunya
and post-chikungunya arthralgia",
Name of hospital,"Number of
patients"
Dhaka Medical College Hospital,4864
Mitford Hospital,2348
"Shaheed Suhrawardy Medical
College Hospital",2558
"Shaheed Mansur Ali Medical
College Hospital",9
Mugda Medical College Hospital,131
Dhaka Shishu Hospital,93
United Hospital,522
Apollo Hospital,197
Delta Hospital,255
"Other private hospitals/
physicians",547
IEDCR,2290
Total,13814
