0,1
Table 10.8. IEC/BCC coverage,
IEC/BCC activity,"Persons
directly
reached"
"Uthan Boithak for community
mobilization by GOB health
workers","2,600"
"Wall-paintings in the school
compound to reach students
and community","190,809"
Pen-holder distribution,
UHC level,200
Tertiary level,636
Docudrama/Gazir gaan,
Docudrama,"38,200"
Folk song,"1,480"
"Others: Installation of posters/
stickers on kala-azar for
community mobilization",
Village doctor’s chamber,"603,942"
Pharmacy,"248,682"
Homeopathic chamber,"21,392"
Poster in open places,"177,630"
Total,"1,285,571"
