0,1
Source of Electricity,National Grid
Source of water supply,Own piped supply
Toilet type,Sanitary
Toilet adequacy,Adequate with male and female privacy
Fuel source,Natural piped national gas
Autoclave System,Hospital's centralized autoclave system
Waste Disposal System,Hospital's own waste management (pit)
