0,1,2
Phase,Impact/Issue,Mitigation Measure
,,"sensitive properties offsite.
• Stop the construction work during prayer
time and night time (6pm-7am)
• Noise level at the boundary of the
construction sites will be monitored to
ensure compliance to Noise Pollution
Control Rules 2006 and IFC-WB EHS
General Guidelines 2007"
,"Impact to surface water quality due to silt
runoff, hazardous liquid wastes, and
chemicals that may be used in construction","• Construction run off will be required to
have internal drainage system to collect
construction runoff into a temporary pit.
• Hazardous liquid waste, hazardous
materials and other liquid waste will be
stored in impermeable bunded area with
110% volume for temporary period
before treating to a treatment plant and
subsequently discharge in a designated
disposal site.
• Implement appropriate Environmental
Codes of Practice to prevent runoff and
manage waste at work sites
• Good housekeeping at construction sites
will be observed at all times to maintain
IFC-WB EHS General Guidelines 2007"
,"Poor sanitation and solid waste disposal in
construction work sites that may cause
possible transmission of communicable
diseases (such as STI's and HIV/AIDS) from
workers to local populations","• Good housekeeping will be observed in
all work sites at all times. Contractors
will be required to provide workers with
sanitary facilities and safe drinking water
supply separately from the existing
health facilities and medical colleges.
• Prior to any civil works,
orientations/briefing on communicable
diseases and good sanitation will be
conducted by the contractors under the
supervision of MOHFW
• WHO (Interim Guidance, 19 March
2020) on water, sanitation, hygiene, and
waste management for the COVID-19
virus will be referred to.
• Workers will be locals and worker-based
camps will be to provide a temporary
safe place during breaks from daily work.
Vacuum truck will be involved in case of
excessive sewage water at camp site to
suck sewage liquid and treat in a
treatment plant before discharging in the
designated disposal site."
,"• Creation of temporary breeding habitats
for diseases such as those transmitted
by mosquitoes and rodents
• Possibility of temporary waterlogging if
civil works will be done during the rainy
season","• Review of the drainage system of the
existing health facilities and medical
colleges will be conducted by the
Contractors to assess if improvement will
be needed
• Good housekeeping in all work sites will
be enforced at all times."
