0,1,2,3,4
রবভাগ,সসন্ট্রাল অরিদজি লাইি,অরিদজি রসরলন্ডার,হাই সলা ন্যাজাল কযানুলা,অরিদজি কিদসিদের্র
ঢাকা,44,10932,469,459
ময়মিরসাংহ,53,7398,501,514
চেগ্রাম,26,3061,275,330
রাজশাহী,38,8320,186,743
রাংপুর,24,2686,204,407
খুলিা,41,7147,865,370
বররশাল,51,1812,60,92
রসদলর্,20,2793,135,198
সমার্,297,44149,"2,695","3,113"
