0,1,2,3,4,5,6,7,8,9,10,11,12,13
SL,Description,"Estimated
Cost",IFT Date,"Opening
Date",NOA Date,"Contract
Sign Date","Completion
Date","Contract
Price","Physical
Progress","EMP
Prepared","EMP
Approved","EMP
Disclosed",Remark
9,"Khulna Medical College, Khulna.",,,,,,,,,,,,
a,"50 bed Isolation Unit & 10 bed
ICU/CCU",350.00,06/01/22,07/02/22,05/10/22,22/5/22,30/08/22,273.91,35%,YES,YES,NO,"Wall & floor tiles work is
going on"
b,"Installation of Medical Gas
System",50.00,06/01/22,07/02/22,23/06/22,21/07/22,,41.00,,YES,YES,NO,
10,"Chittagong Medical College Hospital, Chittagong",,,,,,,,,,,,
a,"50 bed Isolation Unit & 10 bed
ICU/CCU",350,23/10/22,14/11/22,,,25/6/23,,0%,YES,YES,NO,Tender invited
b,"Installation of Medical Gas
System",50,,,,,,,,YES,YES,YES,"Bidding document
correction is going on"
11,"Gopalganj Medical College Hospital, Gopalganj.",,,,,,,,,,,,
a,"50 bed Isolation Unit & 10 bed
ICU/CCU",350,,,,,,,0%,,,,"Director selected a site,
but HED is working in
that building. After H/O
PWD can get the site.
Estimate and Floor Plan
preparation is under
process"
b,"Installation of Medical Gas
System",50,,,,,,,,,,,
12,"M. Abdur Rahim Medical College Hospital, Dinajpur.",,,,,,,,,,,,
a,"50 bed Isolation Unit & 10 bed
ICU/CCU",879.47,,,,,,,,,,,"Architectural drawing
sent to field"
b,"Installation of Medical Gas
System",60.00,,,,,,,,,,,
13,"Bogura Medical College Hospital, Bogura.",,,,,,,,,,,,
a,"50 bed Isolation Unit & 10 bed
ICU/CCU",837.15,,,,,,,,,,,"Architectural drawing.
preparation is going on"
b,"Installation of Medical Gas
System",100.00,,,,,,,,,,,
14,"Barisal Medical College Hospital, Barisal.",,,,,,,,,,,,
a,"50 bed Isolation Unit & 10 bed
ICU/CCU",1083.46,,,,,,,,,,,"Architectural drawing.
preparation is going on"
b,"Installation of Medical Gas
System",100.00,,,,,,,,,,,
15,"Rangpur Medical College Hospital, Rangpur.",,,,,,,,,,,,
a,"50 bed Isolation Unit & 10 bed
ICU/CCU",806.76,,,,,,,,,,,"Site is selected. Estimate
preparation is going on"
b,"Installation of Medical Gas
System",150.00,,,,,,,,,,,Site is selected.
,Construction of PCR lab at MCH/Institute,,,,,,,,,,,,
1,"DNCC dedicated COVID -19
Hospital, Dhaka.",95,4/10/22,5/8/22,,,,81.29,0%,YES,YES,NO,Contract Signed
2,"National Institute of Preventive
& Social Medicine, Dhaka",95,7/3/22,16/8/22,,,,,0%,YES,YES,NO,"Tender evaluation is
going on"
3,"Sheikh Russel Gastroliver
Institute & Hospital, Dhaka.",95,,,,,,,0%,,,,To be dropped
