0,1,2,3,4,5,6,7,8,9,10,11,12,13
IEC,,Potential Impact,Mitigation Measures,,Monitoring Method,,,,,,Responsibility,,
,,,,,Method of Collecting,,,Location and,,Implementation,,Supervision,
,,,,,and Reporting Data,,,Frequency,,,,,
,CONSTRUCTION PHASE,,,,,,,,,,,,
"Waste
Management for
Construction and
COVID Waste",,"• Soil, water and air pollution from
the improper management of
wastes and excess materials from
the construction sites.
• The discarded PPE has posed
serious health hazards and can
spread the contagion among
cleaners and walkers.","• Develop a waste management plan including COVID waste by the help of the
environmental consultant and later to update the plan, if required.
• Use of colored bins (like yellow) and to put medical wastes in 2-3 layered plastic
bag. These wastes need to disinfectant first using chlorine or any other germicides
and then safely transport them through marked vehicles in a marked place.
• Waste segregation, packaging, collection, storage disposal, and transport will be
conducted in compliance with GOB, ADB and WHO COVID-19 Guidelines.
• Train on correct use and disposal of PPEs and check that they understand.
• Construction wastes (such as piece of rod, wood, bamboo, tin sheet, brick etc.) shall
be kept in designated area and sprayed water mist to reduce the dust.
• Use PPE for staff handling any hazardous materials seepage of hazardous
chemicals in case of any accidental spills.
• Do not burn/throw in any wastes to the waterbodies/drains.
• The PIU will audit any off-site waste disposal required on a monthly basis and
institute any remedial measures required to ensure compliance.","• Record of waste
type and quantity
and the disposal
method",,,"Construction
camp and work
sites during
construction
period",,,Contractor,,"PIU and
Environmental
Consultant
(ES)",
"Management of
Workers Facility",,"• Lack of proper facilities such as
water supply and sanitation
facilities may pose health hazards
to workers.","• Ensure sufficient stock of soap, sanitizer, washing facility and safe water at work
site. Also, provision of an appropriate number of toilets and hand-washing points.
• At the entrance of the worksite every personnel must wash their hands for 20
second with maintaining a distance of at least 6ft from each other.
• Check the availability of medical kits at the site on weekly basis.
• Preparation of daily routine checkup including temperature screenings of the
workers and staff.","• Visual inspection &
consultation with
worker;
• Health checkup
record.",,,"Construction
camp site
during
construction
period",,,Contractor,,PIU and ES,
"Drinking Water
Quality",,"• Groundwater at shallow depths
may be contaminated with arsenic
and other parameters and hence
not suitable for drinking purposes.","• Provide the drinking water that meets national standards.
• Select aquifers for drinking water free from arsenic and other contaminants.
• Tube wells will be installed with due regard for surface environment, protection of
groundwater from surface contaminants, and protection of aquifer cross
contamination. Sanitary waste should be adequately disposed-off to avoid
groundwater contamination.","• Record of water-
borne diseases",,,"Regular
monitoring the
drinking water
source during
construction
period",,,Contractor,,PIU and ES,
"Drainage
Congestion",,"• Waterlogging due to improper
management of drainage for
rainwater/liquid waste or
wastewater.","• Regularly inspect and maintain all drains to assess and alleviate any drainage
congestion problem.
• Stockpile materials away from drainage lines.
• Reconstruct internal road-side drains immediately if damaged by any activities.","• Visual inspection &
consultation with
hospital staff and
visitors.",,,"In the project
area during
construction
period",,,Contractor,,PIU and ES,
"Dust/Air Quality
Management",,"• Dust generation from construction
sites, material stockpiles specially
earth material stockpiles and
access roads is a nuisance in the
environment and can be a health
hazard.","• During pneumatic drilling/wall destruction dust shall be suppressed by
ongoing water spraying and/or installing dust screen enclosures at site.
• Water spraying the material stockpiles and access roads when and as required
basis to minimize the potential for environmental nuisance due to dust. Increase the
watering frequency during periods of high risk (especially during the dry period and
high winds).
• Cover haul vehicles carrying dusty materials moving outside the construction site.","• Visual inspection &
consultation with
hospital staff,
doctors, patients
and their relatives",,,"On the worksite
Weekly
monitoring
during
construction
period",,,Contractor,,PIU and ES,
