0,1,2,3,4,5,6,7,8,9,10
"Sl.
no.",OP/Project,Allocation,,,Release,,,Expenditure,,
,,GOB,PA,Total,GOB,PA,Total,GOB,PA,Total
1,"Planning, Monitoring and
Research","1,355.00","1,000.00","2,355.00","1,355.00",537.75,"1,892.75",610.00,510.00,"1,120.00"
2,"Health Information System
and eHealth","10,100.00","3,100.00","13,200.00","10,103.00","2,332.80","12,435.80","6,268.76",940.81,"7,209.57"
3,"Procurement, Storage and
Supplies Management-HS","11,400.00","1,285.00","12,685.00","11,400.00","1,285.00","12,685.00","11,069.29",200.69,"11,269.98"
4,"Maternal, Neonatal, Child
and Adolescent Health","15,151.00","96,534.00","111,685.00","15,151.00","90,130.19","105,281.19","11,398.33","85,331.27","96,729.60"
5,National Nutrition Services,600.00,"10,973.00","11,573.00",600.00,"10,622.80","11,222.80",421.65,"7,817.64","8,239.29"
6,"Communicable Diseases
Control","8,350.00","13,917.00","22,267.00","8,350.00","15,584.53","23,934.53","6,370.37","10,181.93","16,552.30"
7,"TB, Leprosy & AIDS/STD
Program","3,796.00","19,182.00","22,978.00","3,796.00","21,697.11","25,493.11","2,595.16","20,172.72","22,767.88"
8,Non-communicable Diseases,"13,680.00","7,200.00","20,880.00","13,680.00","6,969.00","20,649.00","9,535.51","5,267.12","14,802.63"
9,National Eye Care,415.00,"1,640.00","2,055.00",415.00,"1,640.00","2,055.00",314.40,805.39,"1,119.79"
10,"Community-based
Healthcare","68,224.00","31,379.00","99,603.00","68,224.00","31,279.00","99,503.00","64,601.66","20,475.27","85,076.93"
11,"Hospital Services
Management","29,062.00","54,144.00","83,206.00","29,062.00","35,714.00","64,776.00","24,614.85","16,491.75","41,106.60"
12,"Lifestyle and Health
Education & Promotion","3,028.00","1,388.00","4,416.00","3,028.00","1,388.00","4,416.00","2,666.84","1,187.79","3,854.63"
13,Alternative Medical Care,"4,379.00",500.00,"4,879.00","4,379.00",500.00,"4,879.00","3,806.75",66.15,"3,872.90"
14,Upazila Healthcare,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Summary,,"169,540.00","242,242.00","411,782.00","169,542.99","219,680.18","389,223.17","144,273.57","169,448.53","313,722.10"
