0,1,2
Name of district-level hospital,Major surgery,Minor surgery
Narayanganj 300-bed Hospital,424,6860
Narayanganj General (Victoria) Hospital (100-bed),762,3592
"Narsingdi (100-bed) Zila Hospital, Narsingdi",123,1080
"Narsingdi District Hospital, Narsingdi",366,3243
"Natore District Hospital, Natore",512,1318
"Netrakona District Hospital, Netrakona",341,31735
"Nilphamari District Hospital, Nilphamari",341,16874
"Noakhali District Hospital, Noakhali",4432,14839
"Pabna District Hospital, Pabna",1588,9160
"Panchagarh District Hospital, Panchagarh",788,6708
"Patuakhali District Hospital, Patuakhali",1343,4277
"Pirojpur District Hospital, Pirojpur",110,3125
"Rajbari District Hospital, Rajbari",749,3445
"Rangamati District Hospital, Rangamati",763,737
"Satkhira District Hospital, Satkhira",549,6003
"Shaheed Ahsan Ullah Master General Hospital, Gazipur",,
"Shahid Shamsuddin District Hospital, Sylhet",349,252
"Shariatpur District Hospital, Shariatpur",1030,3724
"Sherpur District Hospital, Sherpur",694,4415
"Sirajganj General Hospital, Sirajganj",458,6741
"Sunamganj District Hospital, Sunamganj",402,4685
"Tangail District Hospital, Tangail",1729,8626
"Thakurgaon District Hospital, Thakurgaon",811,4998
