0,1,2
Name of specialized hospital,Bed-occupancy rate,No. of sanctioned beds
"National Institute of Neurosciences (NINS), Dhaka",100,450
"National Institute of Ophthalmology (NIO), Dhaka",62.4,250
"National Institute of Traumatology & Orthopaedic
Rehabilitation (NITOR), Dhaka",94.2,742
"Pabna Mental Hospital, Pabna",0,500
Shaheed Sheikh Abu Naser Specialized Hospital,0,250
"National Centre for Control of Rheumatic Fever and
Heart Disease",0,0
"Sheikh Fazilatunnessa Mujib Eye Hospital and
Training Institute",0,0
"Kurmitola General Hospital (500-bed ), Dhaka",137.2,500
"Mugda Medical College and Hospital, Dhaka",107.1,500
"Sheikh Russel Gastroliver Institute & Hospital, Dhaka",21,250
