0,1,2
Name of specialized and general hospital,Major surgery,Minor ssurgery
"Bangladesh Institute of Tropical and Infectious Diseases,
Fouzdarhat",,
"National Institute of Cancer Research and Hospital, Dhaka",1419,1329
"National Institute of Cardiovascular Diseases, Dhaka",,
"National Institute of Diseases of the Chest and Hospital, Dhaka",1056,1244
National Institute of ENT In Dhaka,2101,292
"National Institute of Kidney Diseases & Urology, Dhaka",965,1578
"National Institute of Mental Health and Research, Dhaka",,
National Institute of Neurosciences (NINS),2588,513
"National Institute of Ophthalmology (NIO), Dhaka",13205,1334
"National Institute of Traumatology & Orthopaedic Rehabilitation
(NITOR), Dhaka",16569,14746
"Pabna Mental Hospital, Pabna",,
National Centre for Control of Rheumatic Fever and Heart Disease,,
Shaheed Sheikh Abu Naser Specialized Hospital,494,107
Sheikh Fazilatunnessa Mujib Eye Hospital and Training Institute,0,0
Kurmitola General Hospital ( 500-bed ),4719,9019
Mugda Medical College and Hospital,5555,17815
Sheikh Russel Gastroliver Institute & Hospital,0,0
