0,1,2,3,4,5,6,7
"Sl
no","Name of specialized and general
hospital",OPD visit,,Emergency visit,,Inpatients,
,,Female,Male,Female,Male,Female,Male
1,"Bangladesh Institute of Tropical
and Infectious Diseases,
Fouzdarhat",30351,28797,2517,2697,1686,1639
2,"Sheikh Russel Gastroliver Institute
& Hospital",8240,12381,413,618,7577,11657
3,"National Institute of Cancer
Research and Hospital, Dhaka",99925,83718,4368,3598,4331,3509
4,"National Institute of Cardiovascular
Diseases, Dhaka",50429,78942,32169,62676,16108,42554
5,"National Institute of Diseases of
the Chest and Hospital, Dhaka",35511,55923,2178,5379,3249,8534
6,National Institute of Ent In Dhaka,45418,51574,1316,2059,657,1161
7,"National Institute of Kidney
Diseases & Urology, Dhaka",33334,64989,2328,4294,1860,2780
8,"National Institute of Mental Health
and Research, Dhaka",17101,21581,1300,1818,938,1545
9,"National Institute of Neurosciences
(NINS)",98030,100353,25759,36401,20858,26456
10,"National Institute of
Ophthalmology (NIO) , Dhaka",165271,197882,2204,4437,4923,6131
11,"National Institute of Traumatology
& Orthopaedic Rehabilitation
(NITOR), Dhaka",44456,67318,13405,37403,7613,13792
12,"Pabna Mental Hospital, Pabna",28891,23811,0,0,299,992
13,"National Centre for Control of
Rheumatic Fever and Heart
Disease",18180,11286,0,0,0,0
14,"Shaheed Sheikh Abu Naser
Specialized Hospital",37395,39126,0,0,2920,2587
15,"Sheikh Fazilatunnessa Mujib Eye
Hospital and Training Institute",47515,50719,0,0,0,0
16,"Kurmitola General Hospital (500
beds)",177802,149401,10670,11152,8201,10910
17,Mugda 500-bed General Hospital,0,0,0,0,0,0
Total,,937849,1037801,98627,172532,81220,134247
