0,1,2,3,4,5,6,7,8,9
Item,Year,,,,,,,,
,2012,2013,2014,2015,2016,2017,2018,2019,2020
Benedict’s Solution (L),400,140,240,575,570,530,330,430,60
ESR Fluid (L),160,180,99,280,300,300,190,300,60
20% Sulfuric Acid Solution (L),-,-,-,50,60,20,-,,-
N/10 Hydrochloric Acid Solution (L),70,40,40,70,160,125,60,90,20
Acetone Alcohol (L),60,2,-,40,20,30,25,-,-
5% Acetic Acid Solution (L),60,30,50,175,190,140,60,120,55
WBC Fluid (L),40,-,50,80,90,100,30,40,10
RBC Fluid (L),30,-,-,47,70,20,-,10,-
30% Sulfosalicylic Acid (L),10,-,,30,-,05,05,-,-
20% Sodium Hydroxide Solution (L),-,-,-,5,20,-,10,-,-
Semen Analysis Fluid (L),-,-,,40,20,,-,-,-
Normal Saline (L),20,40,10,120,70,30,-,10,10
Methylene Blue (L),-,-,-,25,10,15,10,07,
Crystal Violet (L),-,-,,20,05,08,-,-,
Basic Fuchsin (L),10,-,-,-,-,,15,05,
Carbol Fuchsin (L),-,-,,5,-,,11,-,
Gram Iodine (L),5,-,5,25,-,05,05,-,05
Lugol’s Iodine (L),10,-,,31,32,14,15,05,-
Leishman Stain (L),72,26,17,70,59,65,43,41,18
Giemsa Stain (L),40,34,14,50,40,45,46,55,23
Glucose Kits,99,-,-,-,-,-,-,-,-
Bilirubin Kits,149,-,100,198,200,150,50,150,-
Creatinine Kits,298,-,191,328,200,250,100,350,86
Uric Acid Kits,-,-,-,-,0,-,-,,
EDTA vials,-,-,-,500,1500,1500,2700,,
Urea Kits,50,-,-,-,-,-,-,,
