0,1,2,3,4,5,6,7,8,9,10
"setiilicaf
latoT",,685324,65.55,597523,37.24,50811,55.1,0121,61.0,693267
"ytilicaf
tnemnrevog-noN",latoT,223331,12.73,669712,48.06,4376,88.1,852,70.0,082853
,"latipsoh
OGN",66293,95.75,83252,20.73,4063,92.5,66,90.0,47186
,"etavirP
cinilC",80229,63.23,094981,94.66,2113,90.1,771,60.0,789482
,"etavirP
HCM",8481,01.63,8323,52.36,81,53.0,51,92.0,9115
"ytilicaf
tnemnrevoG",latoT,462092,38.17,928701,86.62,1705,52.1,259,42.0,611404
,"slatipsoh
rehtO .tvog",90531,94.14,26771,65.45,299,50.3,492,09.0,75523
,CW&CM,51891,41.78,7472,80.21,57,33.0,301,54.0,04722
,CHU,384251,97.29,25201,42.6,8141,68.0,261,01.0,513461
,"HD
/HG",83836,91.76,27103,67.13,939,99.0,45,60.0,30059
,HCM,91604,83.54,69864,93.25,7461,48.1,933,83.0,10598
"/yreviled
ytilicaf
fo
epyT",,"lamron
seireviled
fo
.oN","lamron
seireviled
fo
%","naerasec
snotices
fo
.oN","naerasec
snotices
fo
%","/specrof hceerb/muucav
seireviled
fo
.oN","hceerb/muucav
/specrof
seireviled
fo
%","/evticurtsed snotiarepo
evisavni
fo
.oN","snotiarepo
/evticurtsed
evisavni
fo
%","ni
seireviled
setiilicaf
latoT"
