0,1,2,3,4,5,6,7,8,9
Topic/subject/area,Duration,Number of participants,,,,,,,"Cost of
training
(Tk. In
Lakh)"
,,MOHFW personnel,,,,"Non-
MOHFW
personnel",,"Total
participants",
,,"Central
level
(LD Office/
Directorate
& Ministry",,"Field level
(Division,
District,
Upazila,
Union &
Ward)",,,,,
,,M,F,M,F,M,F,,
Local training,,,,,,,,,
"Computer training for
doctors and staff",10 days,146,84,626,77,,,933,297.00
"Training for head-
office staff",5 days,130,28,-,-,-,-,158,19.05
Training on eGP,"6 and 5
days",,,98,14,,,112,33.30
"Training of CHCPs on
HIS and eHealth",2 days,,,9744,4176,-,-,13920,300.65
"Hands-on training for
medical teachers and
scientists",10 days,,,5,15,-,-,20,6.55
"Training on DHIS2/
HRIS",10 days,20,8,101,699,-,-,828,144.70
"Training on
international form for
medical certification
of the cause of death
(MCCOD)",2 days,,,156,97,-,-,253,55.85
Training on eNothi,"4 and 5
days",92,14,,,,,106,11.37
Total,,388,134,10730,5078,-,-,16330,868.47
