0,1
Parameter,Value
Total TB case notified,230081
TB treatment coverage (notified/estimated incidence),64%
Notified TB/HIV co-infection,84
Laboratory-confirmed MDR/RR-TB cases,1113
MDR/RR-TB patients started treatment,1027
Laboratory-confirmed XDR-TB cases,7
XDR-TB patients started treatment,7
Treatment success in new and relapsed cases registered in 2019,95%
Treatment success in HIV-positive TB cases registered in 2019,71%
Treatment success in MDR/RR-TB cases starting second-line treatment in 2018,74%
