0,1,2,3,4,5,6,7
"Sl
no","Name of district-level
hospital",OPD visit,,Emergency visit,,Inpatients,
,,Female,Male,Female,Male,Female,Male
1,"Brahmanbaria District
Hospital, Brahmanbaria",89069,106069,31132,50022,13750,13004
2,"Bagerhat District Hospital,
Bagerhat",57378,35995,3800,5387,6029,4804
3,"Bandarban District Hospital,
Bandarban",26880,21401,951,1882,1849,1754
4,"Barguna District Hospital,
Barguna",58087,40581,12530,13518,7960,5917
5,"Barishal District Hospital,
Barishal",47973,44892,6668,6266,3355,2981
6,"Bhola District Hospital,
Bhola",55493,43043,5497,6722,14995,17893
7,"Chandpur District Hospital,
Chandpur",78346,62422,22334,28018,14705,12499
8,"Chattogram General
Hospital, Chattogram",37958,38993,3830,9694,1900,1891
9,"Chuadanga District Hospital,
Chuadanga",61717,80177,28599,28470,17090,13760
10,"Cox’s Bazar District Hospital,
Cox’s Bazar",94426,65942,39732,42242,28120,30699
11,"Dinajpur District Hospital,
Dinajpur",39631,41204,6737,9015,6663,6449
12,"Faridpur General Hospital,
Faridpur",55380,52055,16335,20253,7034,9133
13,"Feni District Hospital, Feni",53727,54462,29194,27194,22202,14958
14,"Gaibandha District Hospital,
Gaibandha",61231,58617,26898,30291,11655,9595
15,"Gopalganj District Hospital,
Gopalganj",82710,62867,16631,19322,13930,13584
16,"Habiganj District Hospital,
Habiganj",32402,28890,14524,12331,13676,11262
17,"Jamalpur District Hospital,
Jamalpur",121159,86567,26872,24088,22047,19982
18,"Jashore District Hospital,
Jashore",230570,152200,5213,7047,27798,26403
19,"Jhalokathi District Hospital,
Jhalokathi",62342,35399,19259,20506,4918,3869
20,"Jhenaidah District Hospital,
Jhenaidah",135320,83187,6702,12933,16075,11973
21,"Joypurhat District Hospital,
Joypurhat",100824,93551,2803,3666,15767,15064
