0,1
Name of specialized and general hospital,Average length of stay
"National Institute of Mental Health and Research, Dhaka",15.2
"National Institute of Diseases of the Chest and Hospital, Dhaka",14.5
National Institute of Neurosciences (NINS),11.6
"National Institute of Cancer Research and Hospital, Dhaka",10.6
"National Institute of Traumatology & Orthopaedic Rehabilitation (NITOR), Dhaka",10.4
"National Institute of Kidney Diseases & Urology, Dhaka",10
National Institute of ENT In Dhaka,9.8
Kurmitola General Hospital (500-bed ),8
Sheikh Russel Gastroliver Institute & Hospital,7.75
"National Institute of Ophthalmology (NIO), Dhaka",6
"National Institute of Cardiovascular Diseases, Dhaka",3.8
"Bangladesh Institute of Tropical and Infectious Diseases, Fouzdarhat",0
National Centre for Control of Rheumatic Fever and Heart Disease,0
Sheikh Fazilatunnessa Mujib Eye Hospital and Training Institute,0
"Pabna Mental Hospital, Pabna",0
Shaheed Sheikh Abu Naser Specialized Hospital,0
Mugda 500-bed General Hospital,0
