0,1,2,3,4,5,6,7,8
Year,Positive cases,,P. falciparum,,P. vivax,,Deaths,
,Total,"Per 1,000
population",Total,%,Total,%,Total,"Per 1,000
population"
2008,84690,7.73,70281,83.0,14409,17.0,154,0.014
2009,63873,5.83,57020,89.3,6853,10.7,47,0.004
2010,55873,5.10,52049,93.2,3824,6.8,37,0.003
2011,51773,3.91,49194,95.0,2579,5.0,36,0.003
2012,29518,2.23,27819,94.2,1699,5.8,11,0.001
2013,26891,2.03,25908,96.3,983,5.8,15,0.001
2014,57480,4.34,54132,94.2,3348,5.8,45,0.003
2015,39719,2.99,35708,89.9,4011,10.1,9,0.0007
2016,27737,1.58,24431,88.1,3306,11.9,17,0.0009
2017,29247,1.64,23328,84.8,4444,15.2,13,0.0007
2018,10523,0.58,8848,84.1,1675,15.9,7,0.0004
2019,17225,0.94,15099,87.7,2126,12.3,9,0.0005
2020,6130,0.33,4885,79.7,1245,20.3,9,0.0005
