0,1,2
Name of specialized and general hospital,Major surgery,Minor surgery
"National Institute of Ophthalmology (NIO), Dhaka",9320,949
"National Institute of Traumatology & Orthopaedic
Rehabilitation (NITOR), Dhaka",10786,9545
"Pabna Mental Hospital, Pabna",,
"National Centre for Control of Rheumatic Fever and Heart
Disease",,
Shaheed Sheikh Abu Naser Specialized Hospital,420,68
Sheikh Fazilatunnessa Mujib Eye Hospital and Training Institute,0,0
Kurmitola General Hospital ( 500-bed ),853,1850
Mugda Medical College and Hospital,673,1109
Sheikh Russel astroliver Institute & Hospital,20,3
