0,1,2,3,4,5,6,7
"Level of
care",Type of facilities,"Number
of
facilities
reporting
deatha","Total
number
of deaths",0-4 year(s),,≥5 years,
,,,,Female,Male,Female,Male
Primary,10-bed hospitals,13,0,0,0,0,0
,20-bed hospitals,38,0,0,0,0,0
,25-bed hospitals,1,0,0,0,0,0
,30-bed hospitals,3,0,0,0,0,0
,31-bed hospitals,7,0,0,0,0,0
,50-bed hospitals,2,0,0,0,0,0
,"100-bed hospitals,
Saidpur, Nilphamari",1,44,0,1,21,22
,"Upazila health
complexes",424,5516,336,451,1941,2788
Secondary,"District-Level
hospitals",62,25509,2742,3785,7754,11228
Tertiary,500-bed hospitals,2,887,1,3,257,626
,"Medical college
hospitals",19,79818,7034,9943,25468,37373
,"Other tertiary
hospitals (National
Institutes)",15,9911,59,64,3405,6383
Total,,587,121685,10172,14247,38846,58420
